SNo,Advertisement No.,Title,Publish Date,Download Link
62,GEM/2022/B/2610270,Pathology Chemicals,07-10-2022 05:33 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/Chemicals%20BOQ%20bid%20doc_07102022050503501.pdf
63,GEM/2022/B/2598685,Microbiology Culture Media,01-10-2022 02:21 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3854880_202210011421372.pdf
64,GEM/2022/B/2598792,Giemsa stain,01-10-2022 01:54 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3854991_20221001142170.pdf
65,GEM/2022/B/2590346,Microbiology Chemical,29-09-2022 12:41 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3846002_202209291241236.pdf
66,Rack Server,Rack Server,27-09-2022 04:06 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3837943_27092022064243157.pdf
67,GEM/2022/B/2555764,Glassware and Miscellaneous consumables,23-09-2022 10:21 AM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM_Bidding_3808918_202209231021664.pdf
68,GEM/2022/B/2502952,Dressing Material,07-09-2022 03:08 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/
69,AIIMS/DEO/2022-23/03,"Rate Contract For Supply & Refilling of Medical Gases in Cylinder At All India Institute of Medical Sciences, Deoghar",27-08-2022 02:47 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/AIIMSREFILLINGMEDICALGASES_202208271447689.pdf
70,GEM/2022/B/2404907,Dressing Material,03-08-2022 03:35 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3647126_202208031535451.pdf
71,GEM/2022/B/2407246,Miscellaneous,03-08-2022 03:35 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3649614_20220803153523.pdf
72,GEM/2022/B/2405182,Disinfectant Liquids,03-08-2022 03:35 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3647415_202208031535261.pdf
73,GEM/2022/B/2397324,Surgical Consumables,02-08-2022 05:44 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3638858_202208021744951.pdf
74,GEM/2022/B/2399391,Sutures,02-08-2022 05:44 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3641127_20220802174429.pdf
75,AIIMS/DEO/MILK KIOSK/2022-23/01,Tender document for ‘Milk and Milk Products Booth at AIIMS Deoghar Campus,27-07-2022 03:40 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/NEWMILKBOOTHTENDER_26072022101532143.pdf
76,AIIMS/DEO/Security Services/2021-22/07,“Engagement of agency for providing SecurityServices on Job Outsourcing Basis” At Aiims Deoghar,04-02-2022 10:42 AM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/SECURITYTENDERFINAL_03022022111228269.pdf
77,AIIMS/DEO/SITC/2021-22/02,"SIITC (Supply, Installation, Integration, testing & Commissioning) of LAN equipment",09-09-2021 03:58 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/TenderdacumentSITC090921_09092021034734393.pdf
78,TENDER NO.: AIIMS/DEO/Mess Services/2021-22/01,"Tender For Mess Services At All India Institute of Medical Sciences, Deoghar",27-07-2021 04:59 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/MESS_31052022035810206.pdf
79,AIIMS/DEO/Advertising Agency/2021-22/06,OPEN TENDER FOR APPOINTMENT OF ADVERTISING AGENCY FOR PUBLISHING ADVERTISEMENT IN NEWSPAPERS/EMPLOYMENT NEWS AT ‘DAVP RATES’ ON MAXIMUM DISCOUNT BASIS,27-08-2021 05:45 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/Advertising%20Agency%20Tender%20Document_09092021035104257.pdf
80,AIIMS/DEO/Canteen Services/2021-22/04,"Tender For Canteen Services At All India Institute of Medical Sciences, Deoghar",04-08-2021 05:00 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/Cafetaria03082021_04082021043051589.pdf
81,AIIMS/DEO/Parking Services/2021`-22/03,"Management of CAR/ SCOOTER/AUTO/CYCLE parking Areas and control of traffic at Hospital Complex, AIIMS Deoghar.",07-08-2021 07:51 AM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/ParkingTENDER03082021%20(2)_04082021041025616.pdf
82,AIIMS/DEO/Mess Services/2021-22/01,"Tender For Mess Services At All India Institute of Medical Sciences, Deoghar",27-07-2021 05:21 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/MESS_27072021051101291.pdf
83,AIIMS/Deoghar/SE/01,"Construction of manifold room, vaccum and compressor plant for MGPS line at AIIMS Deoghar",26-07-2021 12:39 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/tenderdoc_26072021010212846.pdf
84,AIIMS OPD INAUGURATION 2021,Expression of interest for OPD Inauguration AIIMS Devipur.,13-04-2021 06:40 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/Abhay%20Sharma%20RAAS%20COA_26072021125842593.pdf
85,AIIMS/DEO/HIRINGOFVEHICLE/2020-21/02,Bid accepted through Central Procurement Portal (CPP) only,28-01-2021 12:37 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/finalvehicletender_29_Jan_2021_04_06_06_715.pdf
86,AIIMS/DEOGHAR/PROCUREMENT/675,Notice for inviting registration / empanelment of vendors / contractors,02-01-2021 12:47 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/Inviting%20for%20notice%20for%20Registration%20vendors.pdf
